model,validation,outer_fold,selection_scope,candidate,selection_metric,score,parameters,status,error
decision_tree,group_k_fold,1,outer_training_fold,1,balanced_accuracy,1.0,"{""max_depth"": 10, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,1,outer_training_fold,2,balanced_accuracy,1.0,"{""max_depth"": null, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,2,outer_training_fold,1,balanced_accuracy,1.0,"{""max_depth"": 10, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,2,outer_training_fold,2,balanced_accuracy,1.0,"{""max_depth"": null, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,3,outer_training_fold,1,balanced_accuracy,1.0,"{""max_depth"": 10, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,3,outer_training_fold,2,balanced_accuracy,1.0,"{""max_depth"": null, ""min_samples_leaf"": 3}",completed,
dummy,group_k_fold,1,outer_training_fold,1,balanced_accuracy,0.5,"{""strategy"": ""prior""}",completed,
dummy,group_k_fold,1,outer_training_fold,2,balanced_accuracy,0.375,"{""strategy"": ""stratified""}",completed,
dummy,group_k_fold,2,outer_training_fold,1,balanced_accuracy,0.5,"{""strategy"": ""prior""}",completed,
dummy,group_k_fold,2,outer_training_fold,2,balanced_accuracy,0.375,"{""strategy"": ""stratified""}",completed,
dummy,group_k_fold,3,outer_training_fold,1,balanced_accuracy,0.5,"{""strategy"": ""prior""}",completed,
dummy,group_k_fold,3,outer_training_fold,2,balanced_accuracy,0.375,"{""strategy"": ""stratified""}",completed,
decision_tree,group_k_fold,0,final_full_data,1,balanced_accuracy,1.0,"{""max_depth"": 10, ""min_samples_leaf"": 3}",completed,
decision_tree,group_k_fold,0,final_full_data,2,balanced_accuracy,1.0,"{""max_depth"": null, ""min_samples_leaf"": 3}",completed,
dummy,group_k_fold,0,final_full_data,1,balanced_accuracy,0.5,"{""strategy"": ""prior""}",completed,
dummy,group_k_fold,0,final_full_data,2,balanced_accuracy,0.41666666666666663,"{""strategy"": ""stratified""}",completed,
