rank,model,validation,selection_metric,selection_score,status,error,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro,roc_auc
1.0,decision_tree,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,gaussian_nb,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,gradient_boosting,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,knn,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,logistic_regression,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,mlp,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,random_forest,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,stacking,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,svm,holdout,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,lda,holdout,balanced_accuracy,0.75,completed,,0.75,0.75,0.7571428571428571,0.75,0.7482517482517483,0.7571428571428571,0.75,0.7482517482517483,0.6944444444444444
11.0,dummy,holdout,balanced_accuracy,0.5,completed,,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.5
1.0,decision_tree,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,gaussian_nb,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,gradient_boosting,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,logistic_regression,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,mlp,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,random_forest,k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,stacking,k_fold,balanced_accuracy,0.9833333333333334,completed,,0.9791666666666666,0.9833333333333334,0.9821428571428571,0.9791666666666666,0.9794197031039137,0.9761904761904763,0.9833333333333334,0.9784075573549259,1.0
8.0,knn,k_fold,balanced_accuracy,0.9648148148148148,completed,,0.9583333333333334,0.9648148148148148,0.9639136904761904,0.9583333333333334,0.9586680691169854,0.9553571428571429,0.9648148148148148,0.9574925246751872,1.0
9.0,svm,k_fold,balanced_accuracy,0.9648148148148148,completed,,0.9583333333333334,0.9648148148148148,0.9639136904761904,0.9583333333333334,0.9586680691169854,0.9553571428571429,0.9648148148148148,0.9574925246751872,1.0
10.0,dummy,k_fold,balanced_accuracy,0.5,completed,,0.4166666666666667,0.5,0.17447916666666666,0.4166666666666667,0.24571805006587613,0.20833333333333334,0.5,0.2938076416337286,0.5
11.0,lda,k_fold,balanced_accuracy,0.4746031746031745,completed,,0.4375,0.4746031746031745,0.520673076923077,0.4375,0.394570707070707,0.502991452991453,0.4746031746031745,0.4078282828282828,0.412962962962963
1.0,decision_tree,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,gaussian_nb,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,gradient_boosting,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,knn,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,logistic_regression,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,mlp,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,random_forest,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,stacking,stratified_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,svm,stratified_k_fold,balanced_accuracy,0.9791666666666666,completed,,0.9791666666666666,0.9791666666666666,0.9814814814814815,0.9791666666666666,0.9790849673202615,0.9814814814814815,0.9791666666666666,0.9790849673202615,1.0
10.0,lda,stratified_k_fold,balanced_accuracy,0.6041666666666666,completed,,0.6041666666666666,0.6041666666666666,0.6171717171717171,0.6041666666666666,0.5983869931238353,0.6171717171717171,0.6041666666666666,0.5983869931238353,0.5885416666666666
11.0,dummy,stratified_k_fold,balanced_accuracy,0.5,completed,,0.5,0.5,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.5
1.0,decision_tree,group_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,gaussian_nb,group_k_fold,balanced_accuracy,1.0,completed,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
