validation,outer_fold,selection_scope,model,parameters,score
holdout,1,outer_training_fold,decision_tree,{},1.0
k_fold,1,outer_training_fold,decision_tree,{},1.0
k_fold,2,outer_training_fold,decision_tree,{},1.0
k_fold,3,outer_training_fold,decision_tree,{},1.0
stratified_k_fold,1,outer_training_fold,decision_tree,{},1.0
stratified_k_fold,2,outer_training_fold,decision_tree,{},1.0
stratified_k_fold,3,outer_training_fold,decision_tree,{},1.0
group_k_fold,1,outer_training_fold,decision_tree,{},1.0
group_k_fold,2,outer_training_fold,decision_tree,{},1.0
group_k_fold,3,outer_training_fold,decision_tree,{},1.0
stratified_group_k_fold,1,outer_training_fold,decision_tree,{},1.0
stratified_group_k_fold,2,outer_training_fold,decision_tree,{},1.0
stratified_group_k_fold,3,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,1,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,2,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,3,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,4,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,5,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,6,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,7,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,8,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,9,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,10,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,11,outer_training_fold,decision_tree,{},1.0
leave_one_group_out,12,outer_training_fold,decision_tree,{},1.0
holdout,0,final_full_data,decision_tree,{},1.0
