model,validation,outer_fold,selection_scope,candidate,selection_metric,score,parameters,status,error
decision_tree,holdout,1,outer_training_fold,1,rmse,0.969380534528628,{},completed,
dummy,holdout,1,outer_training_fold,1,rmse,2.2720653524012953,{},completed,
elastic_net,holdout,1,outer_training_fold,1,rmse,1.3141797579167949,{},completed,
gradient_boosting,holdout,1,outer_training_fold,1,rmse,0.8956673356971032,{},completed,
knn,holdout,1,outer_training_fold,1,rmse,1.2276034284638055,{},completed,
lasso,holdout,1,outer_training_fold,1,rmse,1.2879217263947522,{},completed,
linear_regression,holdout,1,outer_training_fold,1,rmse,0.423049413359419,{},completed,
mlp,holdout,1,outer_training_fold,1,rmse,0.4969632814626552,{},completed,
random_forest,holdout,1,outer_training_fold,1,rmse,0.8875006703663357,{},completed,
ridge,holdout,1,outer_training_fold,1,rmse,0.45761389258274277,{},completed,
svr,holdout,1,outer_training_fold,1,rmse,1.2434376087585166,{},completed,
decision_tree,k_fold,1,outer_training_fold,1,rmse,1.0689057335195098,{},completed,
decision_tree,k_fold,2,outer_training_fold,1,rmse,0.7590726103013895,{},completed,
decision_tree,k_fold,3,outer_training_fold,1,rmse,0.7517310324199908,{},completed,
dummy,k_fold,1,outer_training_fold,1,rmse,2.6011572136377206,{},completed,
dummy,k_fold,2,outer_training_fold,1,rmse,2.0945347016670928,{},completed,
dummy,k_fold,3,outer_training_fold,1,rmse,2.107427688544075,{},completed,
elastic_net,k_fold,1,outer_training_fold,1,rmse,1.3250973793356589,{},completed,
elastic_net,k_fold,2,outer_training_fold,1,rmse,1.4071760951937322,{},completed,
elastic_net,k_fold,3,outer_training_fold,1,rmse,1.290737334222578,{},completed,
gradient_boosting,k_fold,1,outer_training_fold,1,rmse,1.0240514808070433,{},completed,
gradient_boosting,k_fold,2,outer_training_fold,1,rmse,0.7649193761415694,{},completed,
gradient_boosting,k_fold,3,outer_training_fold,1,rmse,0.7154861822739784,{},completed,
knn,k_fold,1,outer_training_fold,1,rmse,1.3100258550826092,{},completed,
knn,k_fold,2,outer_training_fold,1,rmse,1.2293441784240913,{},completed,
knn,k_fold,3,outer_training_fold,1,rmse,1.1673158335413865,{},completed,
lasso,k_fold,1,outer_training_fold,1,rmse,1.2052135307761156,{},completed,
lasso,k_fold,2,outer_training_fold,1,rmse,1.6185739046146868,{},completed,
lasso,k_fold,3,outer_training_fold,1,rmse,1.369332757151362,{},completed,
linear_regression,k_fold,1,outer_training_fold,1,rmse,0.6166372361864226,{},completed,
linear_regression,k_fold,2,outer_training_fold,1,rmse,0.44278212859308774,{},completed,
linear_regression,k_fold,3,outer_training_fold,1,rmse,0.4049697398613429,{},completed,
mlp,k_fold,1,outer_training_fold,1,rmse,0.5818133554093814,{},completed,
mlp,k_fold,2,outer_training_fold,1,rmse,0.5059012437781795,{},completed,
mlp,k_fold,3,outer_training_fold,1,rmse,0.4497326823270693,{},completed,
random_forest,k_fold,1,outer_training_fold,1,rmse,0.8735702617520829,{},completed,
random_forest,k_fold,2,outer_training_fold,1,rmse,0.6665220135617606,{},completed,
random_forest,k_fold,3,outer_training_fold,1,rmse,0.7254452530187745,{},completed,
ridge,k_fold,1,outer_training_fold,1,rmse,0.6318184318517966,{},completed,
ridge,k_fold,2,outer_training_fold,1,rmse,0.4909489059553447,{},completed,
ridge,k_fold,3,outer_training_fold,1,rmse,0.44771418983511535,{},completed,
svr,k_fold,1,outer_training_fold,1,rmse,1.3840551674688983,{},completed,
svr,k_fold,2,outer_training_fold,1,rmse,1.18273767378031,{},completed,
svr,k_fold,3,outer_training_fold,1,rmse,1.114913687616383,{},completed,
decision_tree,group_k_fold,1,outer_training_fold,1,rmse,1.1658636966280698,{},completed,
decision_tree,group_k_fold,2,outer_training_fold,1,rmse,1.168773803708683,{},completed,
decision_tree,group_k_fold,3,outer_training_fold,1,rmse,0.7882268255822509,{},completed,
dummy,group_k_fold,1,outer_training_fold,1,rmse,2.272891699610193,{},completed,
dummy,group_k_fold,2,outer_training_fold,1,rmse,2.429614208060043,{},completed,
dummy,group_k_fold,3,outer_training_fold,1,rmse,2.6602110350662396,{},completed,
elastic_net,group_k_fold,1,outer_training_fold,1,rmse,1.2817598426072512,{},completed,
elastic_net,group_k_fold,2,outer_training_fold,1,rmse,1.4506934546338703,{},completed,
elastic_net,group_k_fold,3,outer_training_fold,1,rmse,1.685173141327276,{},completed,
gradient_boosting,group_k_fold,1,outer_training_fold,1,rmse,0.8191023366487638,{},completed,
gradient_boosting,group_k_fold,2,outer_training_fold,1,rmse,0.9196467422698495,{},completed,
gradient_boosting,group_k_fold,3,outer_training_fold,1,rmse,0.8234944831375621,{},completed,
knn,group_k_fold,1,outer_training_fold,1,rmse,1.289105507197708,{},completed,
knn,group_k_fold,2,outer_training_fold,1,rmse,1.1643085188498241,{},completed,
knn,group_k_fold,3,outer_training_fold,1,rmse,1.497629323922676,{},completed,
lasso,group_k_fold,1,outer_training_fold,1,rmse,1.2429440598057173,{},completed,
lasso,group_k_fold,2,outer_training_fold,1,rmse,1.4400414606227985,{},completed,
lasso,group_k_fold,3,outer_training_fold,1,rmse,1.7419937567827413,{},completed,
linear_regression,group_k_fold,1,outer_training_fold,1,rmse,0.47322827663896244,{},completed,
linear_regression,group_k_fold,2,outer_training_fold,1,rmse,0.4244706422776694,{},completed,
linear_regression,group_k_fold,3,outer_training_fold,1,rmse,0.5257095611478916,{},completed,
mlp,group_k_fold,1,outer_training_fold,1,rmse,0.47357555320683786,{},completed,
mlp,group_k_fold,2,outer_training_fold,1,rmse,0.5544320777511844,{},completed,
mlp,group_k_fold,3,outer_training_fold,1,rmse,0.5390015078492225,{},completed,
random_forest,group_k_fold,1,outer_training_fold,1,rmse,0.7307543556151974,{},completed,
random_forest,group_k_fold,2,outer_training_fold,1,rmse,0.8680996362683301,{},completed,
random_forest,group_k_fold,3,outer_training_fold,1,rmse,0.8436988999764312,{},completed,
ridge,group_k_fold,1,outer_training_fold,1,rmse,0.505881242553692,{},completed,
ridge,group_k_fold,2,outer_training_fold,1,rmse,0.4721334403001954,{},completed,
ridge,group_k_fold,3,outer_training_fold,1,rmse,0.5815966585522779,{},completed,
svr,group_k_fold,1,outer_training_fold,1,rmse,1.330659736183353,{},completed,
svr,group_k_fold,2,outer_training_fold,1,rmse,1.2390146410881526,{},completed,
svr,group_k_fold,3,outer_training_fold,1,rmse,1.5081654868331418,{},completed,
decision_tree,leave_one_group_out,1,outer_training_fold,1,rmse,0.7369025783059269,{},completed,
decision_tree,leave_one_group_out,2,outer_training_fold,1,rmse,0.7055316608983138,{},completed,
decision_tree,leave_one_group_out,3,outer_training_fold,1,rmse,0.729797182241031,{},completed,
decision_tree,leave_one_group_out,4,outer_training_fold,1,rmse,0.7338679362241206,{},completed,
decision_tree,leave_one_group_out,5,outer_training_fold,1,rmse,0.8123910542826502,{},completed,
decision_tree,leave_one_group_out,6,outer_training_fold,1,rmse,0.764566798324677,{},completed,
decision_tree,leave_one_group_out,7,outer_training_fold,1,rmse,0.9724255531211738,{},completed,
decision_tree,leave_one_group_out,8,outer_training_fold,1,rmse,1.013192895636141,{},completed,
decision_tree,leave_one_group_out,9,outer_training_fold,1,rmse,0.8696200859846501,{},completed,
decision_tree,leave_one_group_out,10,outer_training_fold,1,rmse,0.8096040446921132,{},completed,
decision_tree,leave_one_group_out,11,outer_training_fold,1,rmse,0.7127566166115942,{},completed,
decision_tree,leave_one_group_out,12,outer_training_fold,1,rmse,0.7158433856798375,{},completed,
dummy,leave_one_group_out,1,outer_training_fold,1,rmse,2.241567681603792,{},completed,
dummy,leave_one_group_out,2,outer_training_fold,1,rmse,2.293935437141544,{},completed,
dummy,leave_one_group_out,3,outer_training_fold,1,rmse,2.2837367440911094,{},completed,
dummy,leave_one_group_out,4,outer_training_fold,1,rmse,2.326425208931431,{},completed,
dummy,leave_one_group_out,5,outer_training_fold,1,rmse,2.084719423672019,{},completed,
dummy,leave_one_group_out,6,outer_training_fold,1,rmse,2.1780395510494,{},completed,
dummy,leave_one_group_out,7,outer_training_fold,1,rmse,2.3689718905303465,{},completed,
dummy,leave_one_group_out,8,outer_training_fold,1,rmse,2.355659532562267,{},completed,
dummy,leave_one_group_out,9,outer_training_fold,1,rmse,2.308142696515122,{},completed,
dummy,leave_one_group_out,10,outer_training_fold,1,rmse,2.12989266045639,{},completed,
dummy,leave_one_group_out,11,outer_training_fold,1,rmse,2.295530390798854,{},completed,
dummy,leave_one_group_out,12,outer_training_fold,1,rmse,2.2577873211319197,{},completed,
elastic_net,leave_one_group_out,1,outer_training_fold,1,rmse,1.2829329926920128,{},completed,
elastic_net,leave_one_group_out,2,outer_training_fold,1,rmse,1.3031128268119536,{},completed,
elastic_net,leave_one_group_out,3,outer_training_fold,1,rmse,1.2907359000016398,{},completed,
elastic_net,leave_one_group_out,4,outer_training_fold,1,rmse,1.3010933050466886,{},completed,
elastic_net,leave_one_group_out,5,outer_training_fold,1,rmse,1.3146558185372774,{},completed,
elastic_net,leave_one_group_out,6,outer_training_fold,1,rmse,1.337357110812191,{},completed,
elastic_net,leave_one_group_out,7,outer_training_fold,1,rmse,1.4173605598689951,{},completed,
elastic_net,leave_one_group_out,8,outer_training_fold,1,rmse,1.399143173423675,{},completed,
elastic_net,leave_one_group_out,9,outer_training_fold,1,rmse,1.3317592840987011,{},completed,
elastic_net,leave_one_group_out,10,outer_training_fold,1,rmse,1.2714716196616387,{},completed,
elastic_net,leave_one_group_out,11,outer_training_fold,1,rmse,1.227538936518481,{},completed,
elastic_net,leave_one_group_out,12,outer_training_fold,1,rmse,1.2554468862871135,{},completed,
gradient_boosting,leave_one_group_out,1,outer_training_fold,1,rmse,0.7509350078620404,{},completed,
gradient_boosting,leave_one_group_out,2,outer_training_fold,1,rmse,0.7547612201996364,{},completed,
gradient_boosting,leave_one_group_out,3,outer_training_fold,1,rmse,0.7941445976280042,{},completed,
gradient_boosting,leave_one_group_out,4,outer_training_fold,1,rmse,0.7735974905166507,{},completed,
gradient_boosting,leave_one_group_out,5,outer_training_fold,1,rmse,0.8089322193306453,{},completed,
gradient_boosting,leave_one_group_out,6,outer_training_fold,1,rmse,0.7677945236912281,{},completed,
gradient_boosting,leave_one_group_out,7,outer_training_fold,1,rmse,0.9730665943935548,{},completed,
gradient_boosting,leave_one_group_out,8,outer_training_fold,1,rmse,0.9965569204022356,{},completed,
gradient_boosting,leave_one_group_out,9,outer_training_fold,1,rmse,0.8650378079162744,{},completed,
gradient_boosting,leave_one_group_out,10,outer_training_fold,1,rmse,0.834654048852597,{},completed,
gradient_boosting,leave_one_group_out,11,outer_training_fold,1,rmse,0.7406726893594018,{},completed,
gradient_boosting,leave_one_group_out,12,outer_training_fold,1,rmse,0.7481208888514985,{},completed,
knn,leave_one_group_out,1,outer_training_fold,1,rmse,1.0365235046634242,{},completed,
knn,leave_one_group_out,2,outer_training_fold,1,rmse,1.0806706733925364,{},completed,
knn,leave_one_group_out,3,outer_training_fold,1,rmse,1.0865860331498585,{},completed,
knn,leave_one_group_out,4,outer_training_fold,1,rmse,1.0744476004490275,{},completed,
knn,leave_one_group_out,5,outer_training_fold,1,rmse,1.02668714194068,{},completed,
knn,leave_one_group_out,6,outer_training_fold,1,rmse,1.10460529882143,{},completed,
knn,leave_one_group_out,7,outer_training_fold,1,rmse,1.227131142988536,{},completed,
knn,leave_one_group_out,8,outer_training_fold,1,rmse,1.2405401064352024,{},completed,
knn,leave_one_group_out,9,outer_training_fold,1,rmse,1.1850490720997842,{},completed,
knn,leave_one_group_out,10,outer_training_fold,1,rmse,1.018955175189925,{},completed,
knn,leave_one_group_out,11,outer_training_fold,1,rmse,1.0040485186632537,{},completed,
knn,leave_one_group_out,12,outer_training_fold,1,rmse,0.9957861325012576,{},completed,
lasso,leave_one_group_out,1,outer_training_fold,1,rmse,1.237652026527659,{},completed,
lasso,leave_one_group_out,2,outer_training_fold,1,rmse,1.2475933471311471,{},completed,
lasso,leave_one_group_out,3,outer_training_fold,1,rmse,1.2415470720741073,{},completed,
lasso,leave_one_group_out,4,outer_training_fold,1,rmse,1.2431088240748656,{},completed,
lasso,leave_one_group_out,5,outer_training_fold,1,rmse,1.386263096824178,{},completed,
lasso,leave_one_group_out,6,outer_training_fold,1,rmse,1.418983394136491,{},completed,
lasso,leave_one_group_out,7,outer_training_fold,1,rmse,1.4385211309057349,{},completed,
lasso,leave_one_group_out,8,outer_training_fold,1,rmse,1.418020419782871,{},completed,
lasso,leave_one_group_out,9,outer_training_fold,1,rmse,1.311074651366503,{},completed,
lasso,leave_one_group_out,10,outer_training_fold,1,rmse,1.2697570034395471,{},completed,
lasso,leave_one_group_out,11,outer_training_fold,1,rmse,1.1417458645777128,{},completed,
lasso,leave_one_group_out,12,outer_training_fold,1,rmse,1.188705284647793,{},completed,
linear_regression,leave_one_group_out,1,outer_training_fold,1,rmse,0.43352457486967044,{},completed,
linear_regression,leave_one_group_out,2,outer_training_fold,1,rmse,0.4518686677995183,{},completed,
linear_regression,leave_one_group_out,3,outer_training_fold,1,rmse,0.4821301229698222,{},completed,
linear_regression,leave_one_group_out,4,outer_training_fold,1,rmse,0.4986874748405272,{},completed,
linear_regression,leave_one_group_out,5,outer_training_fold,1,rmse,0.44627469139134485,{},completed,
linear_regression,leave_one_group_out,6,outer_training_fold,1,rmse,0.3794490767304366,{},completed,
linear_regression,leave_one_group_out,7,outer_training_fold,1,rmse,0.4497417862609103,{},completed,
linear_regression,leave_one_group_out,8,outer_training_fold,1,rmse,0.44920124289458174,{},completed,
linear_regression,leave_one_group_out,9,outer_training_fold,1,rmse,0.4312362416945848,{},completed,
linear_regression,leave_one_group_out,10,outer_training_fold,1,rmse,0.4442320277840125,{},completed,
linear_regression,leave_one_group_out,11,outer_training_fold,1,rmse,0.4428674875535642,{},completed,
linear_regression,leave_one_group_out,12,outer_training_fold,1,rmse,0.46439743000157396,{},completed,
mlp,leave_one_group_out,1,outer_training_fold,1,rmse,0.45208404205574,{},completed,
mlp,leave_one_group_out,2,outer_training_fold,1,rmse,0.4469133837459165,{},completed,
mlp,leave_one_group_out,3,outer_training_fold,1,rmse,0.48476364037644054,{},completed,
mlp,leave_one_group_out,4,outer_training_fold,1,rmse,0.48862982246577846,{},completed,
mlp,leave_one_group_out,5,outer_training_fold,1,rmse,0.5289815587942959,{},completed,
mlp,leave_one_group_out,6,outer_training_fold,1,rmse,0.49888261983389504,{},completed,
mlp,leave_one_group_out,7,outer_training_fold,1,rmse,0.5773920803329532,{},completed,
mlp,leave_one_group_out,8,outer_training_fold,1,rmse,0.5952996340111222,{},completed,
mlp,leave_one_group_out,9,outer_training_fold,1,rmse,0.5592112779272393,{},completed,
mlp,leave_one_group_out,10,outer_training_fold,1,rmse,0.48812663402491585,{},completed,
mlp,leave_one_group_out,11,outer_training_fold,1,rmse,0.4743411364371223,{},completed,
mlp,leave_one_group_out,12,outer_training_fold,1,rmse,0.49242830888520017,{},completed,
random_forest,leave_one_group_out,1,outer_training_fold,1,rmse,0.7142326807945095,{},completed,
random_forest,leave_one_group_out,2,outer_training_fold,1,rmse,0.7238020126797653,{},completed,
random_forest,leave_one_group_out,3,outer_training_fold,1,rmse,0.7201736263363412,{},completed,
random_forest,leave_one_group_out,4,outer_training_fold,1,rmse,0.6960788885946576,{},completed,
random_forest,leave_one_group_out,5,outer_training_fold,1,rmse,0.7412502708426347,{},completed,
random_forest,leave_one_group_out,6,outer_training_fold,1,rmse,0.7619709049664285,{},completed,
random_forest,leave_one_group_out,7,outer_training_fold,1,rmse,0.9189413388654002,{},completed,
random_forest,leave_one_group_out,8,outer_training_fold,1,rmse,0.9535356463453211,{},completed,
random_forest,leave_one_group_out,9,outer_training_fold,1,rmse,0.8428859744722623,{},completed,
random_forest,leave_one_group_out,10,outer_training_fold,1,rmse,0.7434838869625093,{},completed,
random_forest,leave_one_group_out,11,outer_training_fold,1,rmse,0.6367015789892395,{},completed,
random_forest,leave_one_group_out,12,outer_training_fold,1,rmse,0.6615914854830257,{},completed,
ridge,leave_one_group_out,1,outer_training_fold,1,rmse,0.45681254398022414,{},completed,
ridge,leave_one_group_out,2,outer_training_fold,1,rmse,0.4763320536438512,{},completed,
ridge,leave_one_group_out,3,outer_training_fold,1,rmse,0.5022984724084619,{},completed,
ridge,leave_one_group_out,4,outer_training_fold,1,rmse,0.5162204018368304,{},completed,
ridge,leave_one_group_out,5,outer_training_fold,1,rmse,0.48231607108033675,{},completed,
ridge,leave_one_group_out,6,outer_training_fold,1,rmse,0.42024984471218385,{},completed,
ridge,leave_one_group_out,7,outer_training_fold,1,rmse,0.4939706565210964,{},completed,
ridge,leave_one_group_out,8,outer_training_fold,1,rmse,0.4947850623664922,{},completed,
ridge,leave_one_group_out,9,outer_training_fold,1,rmse,0.47188082760577227,{},completed,
ridge,leave_one_group_out,10,outer_training_fold,1,rmse,0.47187902059322206,{},completed,
ridge,leave_one_group_out,11,outer_training_fold,1,rmse,0.4609034252966274,{},completed,
ridge,leave_one_group_out,12,outer_training_fold,1,rmse,0.4802057324886082,{},completed,
svr,leave_one_group_out,1,outer_training_fold,1,rmse,1.1906265723705751,{},completed,
svr,leave_one_group_out,2,outer_training_fold,1,rmse,1.215005585306364,{},completed,
svr,leave_one_group_out,3,outer_training_fold,1,rmse,1.2195972328745137,{},completed,
svr,leave_one_group_out,4,outer_training_fold,1,rmse,1.1676252468999566,{},completed,
svr,leave_one_group_out,5,outer_training_fold,1,rmse,0.998331589244024,{},completed,
svr,leave_one_group_out,6,outer_training_fold,1,rmse,1.1399848046836667,{},completed,
svr,leave_one_group_out,7,outer_training_fold,1,rmse,1.2257212397415398,{},completed,
svr,leave_one_group_out,8,outer_training_fold,1,rmse,1.2643147813295448,{},completed,
svr,leave_one_group_out,9,outer_training_fold,1,rmse,1.1984332683463363,{},completed,
svr,leave_one_group_out,10,outer_training_fold,1,rmse,1.0038152482296359,{},completed,
svr,leave_one_group_out,11,outer_training_fold,1,rmse,1.1505471975400732,{},completed,
svr,leave_one_group_out,12,outer_training_fold,1,rmse,1.1300732196427008,{},completed,
decision_tree,holdout,0,final_full_data,1,rmse,0.7059172298422729,{},completed,
dummy,holdout,0,final_full_data,1,rmse,2.2495929289782124,{},completed,
elastic_net,holdout,0,final_full_data,1,rmse,1.260412212342491,{},completed,
gradient_boosting,holdout,0,final_full_data,1,rmse,0.731847686473704,{},completed,
knn,holdout,0,final_full_data,1,rmse,0.9379000853675605,{},completed,
lasso,holdout,0,final_full_data,1,rmse,1.1971784710890838,{},completed,
linear_regression,holdout,0,final_full_data,1,rmse,0.4508439599206494,{},completed,
mlp,holdout,0,final_full_data,1,rmse,0.469780488093541,{},completed,
random_forest,holdout,0,final_full_data,1,rmse,0.6451028643562795,{},completed,
ridge,holdout,0,final_full_data,1,rmse,0.4643840851569541,{},completed,
svr,holdout,0,final_full_data,1,rmse,1.1326840339275543,{},completed,
