validation,outer_fold,selection_scope,model,parameters,score
holdout,1,outer_training_fold,linear_regression,{},0.423049413359419
k_fold,1,outer_training_fold,mlp,{},0.5818133554093814
k_fold,2,outer_training_fold,linear_regression,{},0.44278212859308774
k_fold,3,outer_training_fold,linear_regression,{},0.4049697398613429
group_k_fold,1,outer_training_fold,linear_regression,{},0.47322827663896244
group_k_fold,2,outer_training_fold,linear_regression,{},0.4244706422776694
group_k_fold,3,outer_training_fold,linear_regression,{},0.5257095611478916
leave_one_group_out,1,outer_training_fold,linear_regression,{},0.43352457486967044
leave_one_group_out,2,outer_training_fold,mlp,{},0.4469133837459165
leave_one_group_out,3,outer_training_fold,linear_regression,{},0.4821301229698222
leave_one_group_out,4,outer_training_fold,mlp,{},0.48862982246577846
leave_one_group_out,5,outer_training_fold,linear_regression,{},0.44627469139134485
leave_one_group_out,6,outer_training_fold,linear_regression,{},0.3794490767304366
leave_one_group_out,7,outer_training_fold,linear_regression,{},0.4497417862609103
leave_one_group_out,8,outer_training_fold,linear_regression,{},0.44920124289458174
leave_one_group_out,9,outer_training_fold,linear_regression,{},0.4312362416945848
leave_one_group_out,10,outer_training_fold,linear_regression,{},0.4442320277840125
leave_one_group_out,11,outer_training_fold,linear_regression,{},0.4428674875535642
leave_one_group_out,12,outer_training_fold,linear_regression,{},0.46439743000157396
holdout,0,final_full_data,linear_regression,{},0.4508439599206494
