score,category,participant,target,admin_note
1.3554,A,g00,3.0286,
-1.0825,B,g00,-3.3344,
0.1458,A,g00,0.4033,
0.2659,B,g00,1.1337,
0.3647,A,g01,0.7443,
1.1713,B,g01,2.6371,
-0.8256,A,g01,-1.9114,
-0.9908,B,g01,-1.957,
0.1828,A,g02,0.8223,
0.9387,B,g02,2.4544,
-0.0405,A,g02,0.4159,
-1.1789,B,g02,-3.1864,
0.8244,A,g03,2.4926,
-0.0454,B,g03,-0.1297,
-0.6099,A,g03,-1.3131,
-1.1628,B,g03,-1.9727,
-0.4538,A,g04,-1.5014,
-2.7245,B,g04,-5.7264,
-1.5011,A,g04,-3.5795,
-0.7343,B,g04,-1.3162,
1.0155,A,g05,2.7834,
0.4044,B,g05,0.9337,
-1.3564,A,g05,-2.3421,
0.7095,B,g05,3.1204,
-0.2355,A,g06,-0.1002,
0.6117,B,g06,1.5568,
-0.352,A,g06,-0.499,
-1.5687,B,g06,-3.778,
-1.5685,A,g07,-3.4366,
-0.6044,B,g07,-1.5988,
-0.183,A,g07,-0.7911,
0.4284,B,g07,1.2209,
-0.2676,A,g08,-1.0545,
-0.4108,B,g08,-1.1398,
0.7137,A,g08,1.2843,
0.6383,B,g08,1.8559,
-2.4751,A,g09,-6.0979,
-1.178,B,g09,-2.9705,
-0.0065,A,g09,0.469,
-0.4748,B,g09,-0.4834,
-0.6786,A,g10,-2.1827,
-0.9812,B,g10,-2.6499,
0.1011,A,g10,0.645,
-0.699,B,g10,-1.1079,
1.1815,A,g11,3.0297,
-0.8555,B,g11,-1.8547,
0.0736,A,g11,0.6768,
-0.7483,B,g11,-1.9594,
