score,category,participant,target,admin_note
1.3554,A,g00,0,
-1.0825,B,g00,1,
0.1458,A,g00,0,
0.2659,B,g00,1,
0.3647,A,g01,0,
1.1713,B,g01,1,
-0.8256,A,g01,0,
-0.9908,B,g01,1,
0.1828,A,g02,0,
0.9387,B,g02,1,
-0.0405,A,g02,0,
-1.1789,B,g02,1,
0.8244,A,g03,0,
-0.0454,B,g03,1,
-0.6099,A,g03,0,
-1.1628,B,g03,1,
-0.4538,A,g04,0,
-2.7245,B,g04,1,
-1.5011,A,g04,0,
-0.7343,B,g04,1,
1.0155,A,g05,0,
0.4044,B,g05,1,
-1.3564,A,g05,0,
0.7095,B,g05,1,
-0.2355,A,g06,0,
0.6117,B,g06,1,
-0.352,A,g06,0,
-1.5687,B,g06,1,
-1.5685,A,g07,0,
-0.6044,B,g07,1,
-0.183,A,g07,0,
0.4284,B,g07,1,
-0.2676,A,g08,0,
-0.4108,B,g08,1,
0.7137,A,g08,0,
0.6383,B,g08,1,
-2.4751,A,g09,0,
-1.178,B,g09,1,
-0.0065,A,g09,0,
-0.4748,B,g09,1,
-0.6786,A,g10,0,
-0.9812,B,g10,1,
0.1011,A,g10,0,
-0.699,B,g10,1,
1.1815,A,g11,0,
-0.8555,B,g11,1,
0.0736,A,g11,0,
-0.7483,B,g11,1,
