signal	noise	category	participant	target	admin_note
1.35543	-0.71997	site_a	g00	0.0	
	-1.25599	site_b	g00	1.0	
0.14579	0.07766	site_c	g00	0.0	
0.86585	0.93816	site_a	g00	1.0	
0.36466	-0.33468	site_a	g00	0.0	
1.77126	-0.58202	site_b	g00	1.0	
-0.82563	0.3053		g01	0.0	
-0.39082	1.04018	site_a	g01	1.0	
0.1828	0.73051	site_a	g01	0.0	
1.53872	0.21511	site_b	g01	1.0	
-0.04049	1.03431	site_c	g01	0.0	
-0.57892	-0.47815	site_a	g01	1.0	
0.8244	0.86327	site_a	g02	0.0	
0.55463	-0.03245	site_b	g02	1.0	
-0.60994	0.4236	site_c	g02	0.0	
-0.56285	1.86882	site_a	g02	1.0	
-0.4538	-0.73389	site_a	g02	0.0	
	2.16988	site_b	g02	1.0	
-1.50113	0.34668	site_c	g03	0.0	
-0.13431	1.03926	site_a	g03	1.0	
1.01547	0.48944	site_a	g03	0.0	
1.00438	-0.15453	site_b	g03	1.0	
-1.35636	2.09762	site_c	g03	0.0	
1.30949	2.69326	site_a	g03	1.0	
-0.23546	0.97689	site_a	g04	0.0	
1.21166	0.05533	site_b	g04	1.0	
-0.35195	0.76182	site_c	g04	0.0	
-0.9687	0.28748	site_a	g04	1.0	
-1.5685	0.96931	site_a	g04	0.0	
-0.00444	-0.17535	site_b	g04	1.0	
-0.18303	-0.66698		g05	0.0	
1.02838	0.29985	site_a	g05	1.0	
-0.2676	-0.77096	site_a	g05	0.0	
0.18922	-0.22573	site_b	g05	1.0	
0.7137	-0.99993	site_c	g05	0.0	
1.23827	0.52054	site_a	g05	1.0	
-2.47506	0.17948	site_a	g06	0.0	
-0.57801	-0.05106	site_b	g06	1.0	
-0.00652	0.97057	site_c	g06	0.0	
0.12524	1.40703	site_a	g06	1.0	
-0.67861	-0.97237	site_a	g06	0.0	
-0.38123	-0.39357	site_b	g06	1.0	
0.10109	0.78455	site_c	g07	0.0	
-0.09901	1.27933	site_a	g07	1.0	
1.18148	0.1521	site_a	g07	0.0	
-0.25548	0.56799	site_b	g07	1.0	
0.07364	0.98529	site_c	g07	0.0	
-0.14831	-0.17722	site_a	g07	1.0	
