signal,noise,category,participant,target,admin_note
1.35543,-0.71997,site_a,g00,0.0,
,-1.25599,site_b,g00,1.0,
1.34579,0.07766,site_c,g00,2.0,
0.26585,0.93816,site_a,g00,0.0,
0.96466,-0.33468,site_a,g00,1.0,
2.37126,-0.58202,site_b,g00,2.0,
-0.82563,0.3053,,g01,0.0,
-0.39082,1.04018,site_a,g01,1.0,
1.3828,0.73051,site_a,g01,2.0,
0.93872,0.21511,site_b,g01,0.0,
0.55951,1.03431,site_c,g01,1.0,
0.02108,-0.47815,site_a,g01,2.0,
0.8244,0.86327,site_a,g02,0.0,
0.55463,-0.03245,site_b,g02,1.0,
0.59006,0.4236,site_c,g02,2.0,
-1.16285,1.86882,site_a,g02,0.0,
0.1462,-0.73389,site_a,g02,1.0,
,2.16988,site_b,g02,2.0,
-1.50113,0.34668,site_c,g03,0.0,
-0.13431,1.03926,site_a,g03,1.0,
2.21547,0.48944,site_a,g03,2.0,
0.40438,-0.15453,site_b,g03,0.0,
-0.75636,2.09762,site_c,g03,1.0,
1.90949,2.69326,site_a,g03,2.0,
-0.23546,0.97689,site_a,g04,0.0,
1.21166,0.05533,site_b,g04,1.0,
0.84805,0.76182,site_c,g04,2.0,
-1.5687,0.28748,site_a,g04,0.0,
-0.9685,0.96931,site_a,g04,1.0,
0.59556,-0.17535,site_b,g04,2.0,
-0.18303,-0.66698,,g05,0.0,
1.02838,0.29985,site_a,g05,1.0,
0.9324,-0.77096,site_a,g05,2.0,
-0.41078,-0.22573,site_b,g05,0.0,
1.3137,-0.99993,site_c,g05,1.0,
1.83827,0.52054,site_a,g05,2.0,
-2.47506,0.17948,site_a,g06,0.0,
-0.57801,-0.05106,site_b,g06,1.0,
1.19348,0.97057,site_c,g06,2.0,
-0.47476,1.40703,site_a,g06,0.0,
-0.07861,-0.97237,site_a,g06,1.0,
0.21877,-0.39357,site_b,g06,2.0,
0.10109,0.78455,site_c,g07,0.0,
-0.09901,1.27933,site_a,g07,1.0,
2.38148,0.1521,site_a,g07,2.0,
-0.85548,0.56799,site_b,g07,0.0,
0.67364,0.98529,site_c,g07,1.0,
0.45169,-0.17722,site_a,g07,2.0,
