signal	noise	category	participant	target	admin_note
1.35543	-0.71997	site_a	g00	2.59909	
	-1.25599	site_b	g00	-0.93393	
0.14579	0.07766	site_c	g00	0.26404	
0.86585	0.93816	site_a	g00	1.82057	
0.36466	-0.33468	site_a	g00	0.88288	
1.77126	-0.58202	site_b	g00	3.71953	
-0.82563	0.3053		g01	-1.5748	
-0.39082	1.04018	site_a	g01	-0.59968	
0.1828	0.73051	site_a	g01	0.19008	
1.53872	0.21511	site_b	g01	2.96449	
-0.04049	1.03431	site_c	g01	-0.04371	
-0.57892	-0.47815	site_a	g01	-1.36073	
0.8244	0.86327	site_a	g02	1.72302	
0.55463	-0.03245	site_b	g02	1.18892	
-0.60994	0.4236	site_c	g02	-1.35547	
-0.56285	1.86882	site_a	g02	-1.02052	
-0.4538	-0.73389	site_a	g02	-1.15154	
	2.16988	site_b	g02	-4.2621	
-1.50113	0.34668	site_c	g03	-2.96001	
-0.13431	1.03926	site_a	g03	-0.25389	
1.01547	0.48944	site_a	g03	1.87389	
1.00438	-0.15453	site_b	g03	1.88306	
-1.35636	2.09762	site_c	g03	-2.65389	
1.30949	2.69326	site_a	g03	2.51453	
-0.23546	0.97689	site_a	g04	-0.68024	
1.21166	0.05533	site_b	g04	2.86867	
-0.35195	0.76182	site_c	g04	-0.45256	
-0.9687	0.28748	site_a	g04	-1.86676	
-1.5685	0.96931	site_a	g04	-3.02469	
-0.00444	-0.17535	site_b	g04	-0.02731	
-0.18303	-0.66698		g05	-0.47259	
1.02838	0.29985	site_a	g05	2.32059	
-0.2676	-0.77096	site_a	g05	-0.6177	
0.18922	-0.22573	site_b	g05	0.42694	
0.7137	-0.99993	site_c	g05	1.43721	
1.23827	0.52054	site_a	g05	2.58813	
-2.47506	0.17948	site_a	g06	-5.11253	
-0.57801	-0.05106	site_b	g06	-1.08086	
-0.00652	0.97057	site_c	g06	-0.04903	
0.12524	1.40703	site_a	g06	0.20535	
-0.67861	-0.97237	site_a	g06	-1.60014	
-0.38123	-0.39357	site_b	g06	-0.31971	
0.10109	0.78455	site_c	g07	0.46339	
-0.09901	1.27933	site_a	g07	-0.09089	
1.18148	0.1521	site_a	g07	2.2952	
-0.25548	0.56799	site_b	g07	-0.38457	
0.07364	0.98529	site_c	g07	0.07501	
-0.14831	-0.17722	site_a	g07	-0.43609	
