F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,lables
36,10,68,92,10,30,2,47,43,55,51,31,90,34,10,25,26,85,19,66,96,76,82,90,89,53,25
32,99,65,85,75,49,15,75,4,35,82,99,82,7,39,26,63,4,95,36,15,61,68,62,18,83,51
16,48,100,24,14,98,84,98,20,45,12,59,93,16,21,21,93,49,84,7,17,21,41,11,34,40,48
35,62,0,9,65,78,89,48,25,37,67,60,91,71,79,22,40,23,83,79,33,28,73,54,83,50,48
10,58,6,37,1,3,48,92,52,92,18,57,70,27,60,12,63,29,10,42,45,71,6,39,78,0,62
94,12,79,22,79,82,14,99,29,41,74,18,94,60,21,1,24,55,38,43,61,88,81,32,35,80,60
53,70,84,87,24,0,88,37,56,58,46,2,20,85,80,9,21,87,98,71,62,17,47,6,73,61,10
15,100,68,6,48,27,80,98,28,58,53,8,46,32,15,58,19,82,14,58,15,43,21,27,11,48,47
89,3,34,61,62,32,55,9,45,66,59,67,59,75,95,34,78,4,16,57,56,96,46,86,90,67,69
95,11,86,79,1,72,81,25,46,42,36,63,95,27,31,70,21,27,36,43,69,89,49,54,72,99,72
27,11,92,52,24,9,6,31,74,13,77,91,71,83,16,72,30,5,28,18,77,94,40,89,35,13,70
86,24,100,19,52,84,47,19,81,22,66,68,71,0,91,79,12,20,81,43,20,65,28,13,10,47,94
25,37,50,19,32,93,98,22,22,79,80,18,86,62,83,67,35,10,59,5,1,90,70,59,81,86,29
85,19,93,25,13,32,64,20,18,45,42,73,24,83,89,97,15,54,40,56,37,9,41,49,74,63,60
82,1,84,44,63,62,7,44,89,0,69,29,43,9,7,85,90,73,96,1,35,29,7,97,23,5,29
83,79,9,95,13,99,19,54,32,40,50,68,61,29,8,1,17,70,80,54,81,100,74,37,78,78,84
91,91,97,11,3,71,10,74,79,44,39,99,48,38,39,21,34,83,24,20,43,90,58,27,44,6,4
89,95,61,95,23,39,25,18,62,49,30,85,33,55,95,78,6,90,13,26,71,22,17,3,58,78,77
38,31,30,58,96,15,27,62,94,8,75,80,75,75,52,29,92,44,82,89,2,33,23,80,55,13,75
86,69,22,3,39,73,81,94,90,40,80,56,99,76,81,96,79,52,59,4,76,70,56,27,72,42,1
70,47,39,48,11,61,46,34,23,91,43,53,50,41,40,41,29,26,28,27,49,68,30,68,53,99,31
74,30,61,14,17,25,81,54,16,39,27,49,91,55,18,21,9,28,82,81,78,2,88,45,28,75,19
55,60,8,28,74,13,71,45,49,88,100,47,70,74,13,51,14,55,28,79,37,25,13,83,55,1,20
23,2,42,45,98,86,39,50,94,100,57,10,0,97,0,56,30,96,49,35,77,31,24,75,28,11,58
3,42,74,94,69,95,70,84,68,37,68,25,17,5,84,46,100,62,45,15,44,56,78,96,96,5,77
76,87,53,77,49,10,21,20,91,22,25,50,48,55,69,63,20,88,44,54,70,38,7,94,91,7,15
31,62,84,67,84,8,60,46,2,58,17,91,81,25,50,70,74,11,58,36,88,100,62,10,14,45,16
77,17,51,28,35,36,11,39,51,11,15,0,66,78,21,26,72,100,22,99,40,59,3,68,89,6,12
7,18,17,59,88,81,7,36,97,13,4,20,51,43,12,3,47,99,58,21,6,25,48,35,67,43,91
76,2,25,61,3,54,96,1,0,64,5,25,11,30,89,22,65,62,49,85,65,80,46,56,33,63,16
84,84,34,66,41,97,55,22,36,65,81,58,94,67,96,26,2,61,92,34,88,13,46,32,7,2,55
27,58,52,9,23,13,79,83,48,47,33,80,77,76,41,25,69,77,96,83,52,12,36,53,18,77,75
86,10,100,65,58,1,67,83,2,35,32,59,98,39,61,90,79,22,29,21,6,57,92,7,17,69,34
27,28,1,27,26,87,45,77,45,1,36,65,36,38,85,4,77,100,38,81,32,21,53,24,98,37,77
82,100,87,41,0,40,79,98,29,70,78,87,21,65,82,95,7,38,96,18,56,74,31,85,99,14,35
47,65,34,33,7,83,59,86,82,70,88,71,56,79,92,21,78,97,11,31,30,92,99,34,49,13,34
1,28,45,13,3,82,49,22,71,38,84,33,93,99,5,61,53,68,46,29,77,83,44,18,91,7,95
72,6,22,51,43,68,83,67,70,92,82,70,26,51,86,69,12,51,16,1,25,89,53,75,34,36,29
71,22,21,8,45,100,79,94,6,22,87,17,40,97,99,30,73,33,61,19,77,10,90,17,98,89,47
29,94,84,43,26,74,77,57,43,56,35,13,40,98,87,16,61,26,36,16,97,62,54,9,62,98,11
50,94,5,40,35,64,68,27,66,100,95,11,52,64,51,94,52,37,34,82,58,28,24,59,97,64,54
66,6,72,67,18,80,19,71,65,30,5,15,30,24,59,48,81,85,20,73,67,64,74,24,91,36,9
58,11,49,31,46,86,24,4,86,37,86,93,28,31,77,45,28,95,39,12,100,88,83,89,88,88,13
94,27,8,76,82,17,58,79,44,51,66,41,66,91,21,25,16,62,10,7,9,40,91,11,23,61,40
26,74,32,63,49,70,61,20,20,90,79,34,90,11,56,44,88,66,2,3,48,59,2,5,74,78,78
18,47,21,26,91,54,34,100,3,62,79,91,61,87,83,48,100,64,6,95,13,39,8,3,84,57,36
99,31,58,91,47,38,69,63,91,50,26,22,14,70,3,86,21,21,15,41,88,2,9,40,54,59,6
58,97,12,50,56,11,87,1,30,59,55,23,89,12,100,81,28,14,46,88,6,65,45,75,86,44,30
88,13,74,52,89,27,9,5,61,44,24,88,51,71,89,61,90,41,4,0,86,66,47,9,83,51,79
74,36,87,42,38,12,4,56,21,21,84,19,80,59,93,86,63,88,66,64,95,74,95,20,63,17,91
82,92,72,82,61,90,0,83,78,3,8,41,67,19,41,40,8,63,35,18,1,18,32,18,83,85,49
85,20,4,13,88,77,47,71,60,96,18,17,94,35,69,1,65,55,16,5,77,24,28,8,0,66,92
11,24,87,17,88,21,53,3,68,40,70,27,49,18,67,16,59,30,90,85,98,70,21,41,60,9,51
66,12,81,16,9,100,48,23,16,52,4,45,40,75,68,95,67,16,86,51,62,42,15,28,49,11,39
24,9,4,85,66,50,21,75,86,87,61,88,35,14,27,76,93,3,30,10,6,61,10,24,30,87,55
